Topic,Count,Name,Representation,Representative_Docs
15,19,15_aid_pier_worker_workers,"['aid', 'pier', 'worker', 'workers', 'killed', 'coast', 'gaza', 'mins', 'food', 'delivery']","['&U.S. says pier used for Gaza aid deliveries needs &#8216;over a week&#8217; of repairs&World&15 mins&3 min rea', 'Conflict and WarPremiumEU eyes maritime aid corridor to Gaza amid famine fearsThe US military plans to build a &quot;temporary pier&quot; on Gaza&#x27;s Mediterranean coast, amid UN warnings of fami', ""Israel says to up Gaza aid, admits 'mistakes' in aid worker deaths""]"
16,18,16_39_trudeau_x27_canada,"['39', 'trudeau', 'x27', 'canada', 'canadians', 'news', 'politics', 'ottawa', 'restraint', 'maximum']","['#39;Price of justice cannot be the continued suffering of all,&#39; Trudeau says amid push to get Canadians out of Gaza', '#x27;What took so long?&#x27;: Canadians welcome PM Trudeau&#x27;s calls for &#x27;maximum restraint&#x27; in Gaza but wonder if it is too lateYahoo News Canada', 'Trudeau calls report of airstrike on Gaza hospital &#39;horrific&#39; and &#39;unacceptable&#39;']"
17,18,17_ceasefire_council_security_resolution,"['ceasefire', 'council', 'security', 'resolution', 'vetoes', 'calling', 'immediate', 'general', 'favour', 'russia']","['UN Security Council backs plan for Israel-Gaza ceasefire', 'Russia, China veto UN resolution calling for immediate ceasefire in Gaza', ""US vetoes Security Council resolution calling for `humanitarian pauses' in Gaza""]"
18,16,18_flights_cancels_send_ship,"['flights', 'cancels', 'send', 'ship', 'country', 'israel', 'australia', 'spiralling', 'seized', 'rapidly']","['Repatriation flights from Israel cancelled due to &#x27;rapidly changing&#x27; situation ', 'Australia cancels flights from Israel', 'Australia cancels flights from Israel']"
19,16,19_toll_death_000_tops,"['toll', 'death', '000', 'tops', 'rises', 'gaza', '10', 'troops', 'department', 'exceeds']","['Death toll of Palestinians in Gaza rises to over 1,200', 'Gaza death toll reportedly tops 10,000', 'Hamas says Gaza death toll tops 10,000 as Israel steps up war']"
20,16,20_icc_arrest_warrants_crimes,"['icc', 'arrest', 'warrants', 'crimes', 'leaders', 'netanyahu', 'warrant', 'prosecutor', 'seeks', 'x27']","['ICC issues arrest warrants against Israel PM, Defence Minister', '#x27;Disgrace&#x27;: Fury as ICC seeks arrests of Hamas, Israeli leadersThe ICC is seeking arrest warrants for Hamas leader Yahya Sinwar and Israeli Prime Minister Benjamin Netanyahu.', 'ICC prosecutor seeks Gaza &#x27;war crimes&#x27; arrest warrant for Netanyahu, Hamas leaders']"
21,14,21_water_famine_starvation_park,"['water', 'famine', 'starvation', 'park', 'north', 'food', 'imminent', 'gaza', 'x27', 'calls']","['Famine &#x27;Imminent&#x27; In North Gaza As Palestinians Continue To Starve: IPC Report', ""Gaza's next tragedy: Disease risk spreads amid overcrowded shelters, dirty water and breakdown of basic sanitation"", 'Mana Bay Water Park: What does the Premium Water Park in Gazaria Offer?']"
22,13,22_oil_morning_prices_briefing,"['oil', 'morning', 'prices', 'briefing', 'emea', 'energy', 'traders', 'attack', 'shock', 'stocks']","['What oil traders are watching after shock attack on Israel', 'North American Morning Briefing: Stock Futures Hit by Israel-Hamas Conflict; Oil Jumps', 'EMEA Morning Briefing: Hamas Attack on Israel Rattles Investors; Oil Jumps']"
23,11,23_children_way_killed_sy,"['children', 'way', 'killed', 'sy', 'beach', 'ambassador', '2022', '2000', 'child', 'offenders']","['Ceasefire The Only Way To End Killing And Injuring Of Children In Gaza: UNICEF', 'Suffer the little children. It is ever the way, from Rwanda to Gaza', '2000 children killed in Gaza, aid group says']"
24,11,24_pinoys_exit_leave_strip,"['pinoys', 'exit', 'leave', 'strip', 'philrice', 'dti', 'denied', 'entrepreneurship', 'attractive', 'ambulance']","['Ambulance airstrike delays exit of Pinoys from Gaza', '14 Pinoys quit repatriation as Palestinian relatives were denied exit from Gaza Strip', '56 more Pinoys leave Gaza']"
25,11,25_state_recognise_palestinian_norway,"['state', 'recognise', 'palestinian', 'norway', 'spain', 'france', 'european', 'recognition', 'rejects', 'ireland']","['Norway, Ireland, Spain recognise Palestinian statehood: what this means for Middle East peace - expert Q&A', ""Norway, Ireland, Spain recognise Palestinian state in `historic' move"", '1 minsIreland, Spain And Norway To Recognise Palestinian State | 10 News FirIn a major development in the Middle East - three NATO countries say they now officially recognise Palestine as a state.T']"
