Topic,Count,Name,Representation,Representative_Docs
29,52,29_netanyahu_emanuel_ari_benjamin,"['netanyahu', 'emanuel', 'ari', 'benjamin', 'rival', 'political', 'muir', 'wiesenthal', 'boos', 'abc']","['Ari Emanuel Accepts Simon Wiesenthal Center Honor, Slams Netanyahu Amid Walkouts and Boos', ""Ari Emanuel Calls for Removal of Israel's Benjamin Netanyahu Amid Boos and Shouts at Wiesenthal Dinner"", 'What Will Netanyahu Do Now?']"
30,49,30_truce_day_extension_talks,"['truce', 'day', 'extension', 'talks', 'extend', 'cairo', 'enters', 'fifth', 'extended', 'agreement']","['Israel-Hamas truce enters fifth day after extension agreement', 'Israel and Hamas Extend Their War Truce For Another Day', 'Israel and Hamas extend truce by a day']"
31,48,31_democracy_choice_opinion_teach,"['democracy', 'choice', 'opinion', 'teach', 'crisis', 'leadership', 'turned', 'point', 'means', 'dangerous']","['Israel Adesanya is making the right choice by stepping away from competition &#x27;for a long time&#x27;', ""Another View: Israel's own crisis of democracy is reaching a boiling point"", 'Angry Israelis can teach Americans what a true democracy looks like | Opinion']"
32,48,32_tunnels_tunnel_network_underground,"['tunnels', 'tunnel', 'network', 'underground', 'seawater', 'uncovered', 'shafts', 'flooding', 'pumping', 'headquarters']","['Israel says it uncovered 800 shafts to Hamas tunnels below Gaza', 'Israel-Gaza live updates: Israel pumping seawater into some Gaza tunnels', ""Here's what to know about Hamas tunnels in Gaza""]"
33,48,33_videos_video_footage_oct,"['videos', 'video', 'footage', 'oct', 'massacre', 'shows', 'horrific', 'graphic', 'details', 'unedited']","['Videos show new details on how Hamas launched surprise assault on Israel', 'Footage Of Oct. 7 Hamas Terror Attack & Massacre To Be Shown In Hollywood & New York This Week', 'Graphic videos of Hamas attacks spread on X']"
34,47,34_hospitals_doctors_patients_hospital,"['hospitals', 'doctors', 'patients', 'hospital', 'doctor', 'treated', 'supplies', 'treating', 'fuel', 'remaining']","[""What I've Seen Treating Patients in Gaza's Remaining Hospitals"", 'Gaza hospitals are overwhelmed with patients and desperately low on supplies as invasion looms', 'Chicago doctors who treated patients in Gaza describe massive suffering']"
35,47,35_festival_music_bruno_mars,"['festival', 'music', 'bruno', 'mars', 'canceled', 'concert', 'survivor', 'describes', 'massacre', '260']","[""A Nova music festival massacre survivor vows `Never again'"", 'Israeli music festival survivor describes horror of Hamas-led attack that left 260 dead', 'When Massacre Came to a Music Festival in Israel']"
36,47,36_iraq_syria_backed_strikes,"['iraq', 'syria', 'backed', 'strikes', 'base', 'troops', 'sites', 'linked', 'militia', 'facilities']","['U.S. Military Base in Syria Struck by Rockets Fired From Iraq', 'Rockets fired from Iraq towards US base in Syria: Report', 'US strikes back at Iranian-backed groups that attacked troops in Iraq and Syria: Officials']"
37,45,37_drones_drone_launches_missiles,"['drones', 'drone', 'launches', 'missiles', 'iran', 'iranian', 'launched', 'missile', 'air', 'attack']","['Iran launches drones and missiles towards Israel in retaliatory attack: Live', 'Iran launches dozens of drones toward Israel', 'Iran Launches Drones, Missiles Toward Israel: Report']"
38,44,38_rafah_offensive_halt_court,"['rafah', 'offensive', 'halt', 'court', 'icj', 'orders', 'invasion', 'determined', 'operation', 'ruling']","[""U.N. top court orders Israel to `immediately halt' Rafah offensive"", 'UN&#x27;s top court orders Israel to halt military offensive in Rafah', ""U.N.'s top court calls for Israel to halt military offensive in southern Gaza city of Rafah""]"
39,44,39_forever_war_changed_wartime,"['forever', 'war', 'changed', 'wartime', 'face', 'occupation', 'recorded', 'proportionality', 'lemons', 'deposing']","['Wartime unity between the US and Israel will soon face its toughest test', 'Southern Israel was filled with blood and death. Brilliant red wildflowers now bloom among the ashes', 'The Day Israel Changed Forever']"
40,43,40_live_war_gaza_lives,"['live', 'war', 'gaza', 'lives', 'life', 'lohud', 'glimpses', 'ghost', 'humanize', 'latimer']","['LIVE: ISRAEL-GAZA WAR', 'Live: ISRAEL-GAZA WAR', 'LIVE: ISRAEL-GAZA WAR']"
41,42,41_biden_plan_announced_actions,"['biden', 'plan', 'announced', 'actions', 'planning', 'gaza', 'mistake', 'policy', 'column', 'tough']","[""The U.S. announced it. Israel kind of rejected it. What is Biden's Gaza cease-fire plan?"", 'Biden&#8217;s plan to bring in Gazan refugees is national security insanity', ""Biden announced a cease-fire plan for the war in Gaza. Here's what to know.""]"
42,41,42_syria_damascus_syrian_airstrike,"['syria', 'damascus', 'syrian', 'airstrike', 'assad', 'service', 'soldiers', 'aleppo', 'hit', 'responsibility']","['Syria says an Israeli airstrike hit the Damascus airport and put it out of service', 'Syria says an Israeli airstrike hit the Damascus airport and put it out of service', 'Syria says an Israeli airstrike hit the Damascus airport and put it out of service']"
43,41,43_sea_red_shipping_attacks,"['sea', 'red', 'shipping', 'attacks', 'houthi', 'houthis', 'ships', 'bp', 'vessels', 'attacking']","['Who are the Houthis and why are they attacking ships in the Red Sea?', 'Who are the Houthis and why are they attacking ships in the Red Sea?', ""BP suspends Red Sea shipping amid attacks by Yemen's Houthi militants""]"
44,41,44_biden_muslim_joe_remarks,"['biden', 'muslim', 'joe', 'remarks', 'apologized', 'questioning', 'administration', 'comment', 'urges', 'republicans']","['Biden privately apologized to Muslim Americans for comment on Palestinian casualtiesNov 29, 2023', 'Muslim leaders criticize Biden over his Palestinian death toll remarks in private meeting ', 'Biden offers apology to Muslim-American leaders for questioning Hamas death toll: report']"
45,40,45_worsens_crisis_rages_humanitarian,"['worsens', 'crisis', 'rages', 'humanitarian', 'intensifies', 'outcry', 'grows', 'war', 'hamas', 'energy']","['Humanitarian crisis worsens in Gaza as Israel-Hamas war rages', 'Humanitarian crisis worsens in Gaza as Israel-Hamas war rages', 'Humanitarian crisis worsens in Gaza as Israel-Hamas war rages']"
46,38,46_africa_south_case_genocide,"['africa', 'south', 'case', 'genocide', 'court', 'sa', 'measures', 'international', 'accuses', 'african']","['South Africa launches case at top UN court accusing Israel of genocide in Gaza', 'South Africa presses genocide case against Israel at international court', ""What to Know About South Africa's Genocide Case Against Israel""]"
47,37,47_aid_ship_delivery_humanitarian,"['aid', 'ship', 'delivery', 'humanitarian', 'carrying', 'gazans', 'cyprus', 'british', 'little', 'arrives']","['Ship carrying aid to Gaza departs from Cyprus, World Central Kitchen says', 'First ship carrying aid arrives in Gaza ahead of new Israel ceasefire talks', 'Gaza aid ship']"
48,36,48_palestine_conflict_occupied_context,"['palestine', 'conflict', 'occupied', 'context', 'guide', '08', 'history', 'timeline', 'land', '2024']","['Explained: Israel-Palestine And A History Of Conflict', 'In Occupied Palestine - 08 May 2024', 'In Occupied Palestine - 08 April 2024']"
49,35,49_babies_baby_premature_evacuated,"['babies', 'baby', 'premature', 'evacuated', 'hospital', 'diapers', 'decomposing', 'born', 'birth', 'parents']","['Two-dozen premature babies evacuated from Gaza as al-Shifa hospital remains under siege', 'Premature babies evacuated from Gaza&#x27;s main hospital and taken to Egypt', '31 premature babies are evacuated from Al-Shifa Hospital to southern Gaza']"
50,35,50_airlines_flights_aviv_tel,"['airlines', 'flights', 'aviv', 'tel', 'airport', 'cancel', 'russian', 'major', 'flight', 'suspend']","['Major airlines suspend flights to Tel Aviv after Hamas attack', 'Major airlines suspend flights to Tel Aviv after Hamas attack', 'Israel war: Airlines cancel flights to Tel Aviv after Hamas attack']"
51,35,51_shifa_al_hospital_raid,"['shifa', 'al', 'hospital', 'raid', 'withdraw', 'idf', 'troops', 'evidence', 'zone', 'justified']","['Israel-Gaza live updates: Al-Shifa hospital evacuated amid IDF raid', ""Israeli troops and tanks raid Gaza's Al-Shifa Hospital"", ""Israel-Hamas war live updates: Al-Shifa hospital in Gaza is a 'death zone,' WHO says""]"
52,34,52_yemen_shoots_navy_warship,"['yemen', 'shoots', 'navy', 'warship', 'destroyer', 'fired', 'missiles', 'drones', 'sea', 'red']","['US destroyer shoots down drone launched from Yemen over Red Sea', 'US Navy destroyer shoots down drone in Red Sea', 'Navy ship in Red Sea shoots down attack drones from Houthi-controlled Yemen areas']"
53,34,53_rafah_evacuations_parts_orders,"['rafah', 'evacuations', 'parts', 'orders', 'evacuate', 'palestinians', 'evacuation', 'assault', 'operations', 'expand']","['Israel orders new evacuations in Rafah as it expands military offensive', 'Israel orders new evacuations as it prepares to expand Rafah operations', 'The Latest | Israeli military orders evacuation of parts of Rafah ahead of possible ground invasion']"
54,34,54_children_unicef_child_violating,"['children', 'unicef', 'child', 'violating', 'graveyard', 'leg', 'starvation', 'dying', 'kids', 'quot']","['Children caught in the Israel-Gaza conflict', ""UNICEF's deputy chief calls for end to `war on children' in Gaza"", ""The number of &quot;grave violations against children&quot; in the conflict-racked country is estimated to be more than 1,700 for the first half of 2023, said UNICEF, the UN children's agency - whic""]"
55,33,55_boy_old_crime_year,"['boy', 'old', 'crime', 'year', 'muslim', 'hate', 'stabbed', 'landlord', 'plainfield', 'american']","['Uncle of 6-year-old Muslim stabbed to death in alleged hate crime speaks out', 'Six-Year-Old Palestinian-American Boy Stabbed to Death in Alleged Hate Crime', 'Exclusive: Mother of 6-year-old Muslim boy killed in alleged hate crime speaks out']"
56,33,56_video_polin_hersh_goldberg,"['video', 'polin', 'hersh', 'goldberg', 'releases', 'propaganda', 'hostage', 'hostages', 'alive', 'noa']","['Hamas releases video of injured Israeli-American hostage Hersh Goldberg-Polin', 'Hamas releases video of American-Israeli hostage Hersh Goldberg-Polin', 'Hamas releases video of Israeli hostage Hersh Goldberg-Polin']"
57,32,57_lebanon_lebanese_embassy_reuters,"['lebanon', 'lebanese', 'embassy', 'reuters', 'gunman', 'abdallah', 'issam', 'journalist', 'tank', 'videographer']","['Reuters Videographer Issam Abdallah Killed By Artillery Fire In Southern Lebanon', 'Reuters videographer Issam Abdallah killed in Israeli strike in Lebanon', 'Israeli tank fire killed Reuters journalist Issam Abdallah in Lebanon']"
58,32,58_man_jewish_charged_australia,"['man', 'jewish', 'charged', 'australia', 'california', 'arizona', 'allegedly', 'died', 'australian', 'death']","['Arizona man charged over online posts that allegedly incited Australian attack in which 6 died', 'Arizona man charged over online posts that allegedly incited Australian attack in which 6 died', 'Arizona man charged over online posts that allegedly incited Australian attack in which 6 died']"
59,30,59_ceasefire_proposal_accepted_cease,"['ceasefire', 'proposal', 'accepted', 'cease', 'agreed', 'language', 'plan', 'deal', 'agreement', 'days']","['Hamas says it has agreed to ceasefire proposal', 'Israel Hamas ceasefire', 'Hamas says it has accepted a ceasefire proposal']"
60,30,60_declares_formally_surprise_war,"['declares', 'formally', 'surprise', 'war', 'hamas', 'state', 'regional', 'stripped', 'amar', 'stoudemire']","['Israel declares state of war after Hamas launches coordinated surprise wave of attacks from Gaza', 'Israeli PM declares state of war after surprise Hamas attack', 'Israel formally declares war against Hamas a day after surprise assault']"
61,30,61_oil_prices_gas_market,"['oil', 'prices', 'gas', 'market', 'price', 'conflict', 'surge', 'impact', 'crude', 'predict']","['Global Crude Oil Prices Surge Amid Israel-Hamas Conflict', 'Oil prices jump 3% after Hamas attack on Israel', 'War in Israel has brought a rise in oil prices. Will gas prices follow?']"
62,29,62_council_resolution_cease_city,"['council', 'resolution', 'cease', 'city', 'calling', 'security', 'pass', 'approves', 'bibb', 'adopts']","['Portland City Council approves resolution calling for cease-fire in Gaza', 'UN Security Council approves resolution calling for Gaza cease-fire during Ramadan', 'UN Security Council to vote on US-backed cease-fire resolution']"
63,29,63_hospital_blast_explosion_responsible,"['hospital', 'blast', 'explosion', 'responsible', 'rocket', 'blame', 'visual', 'deadly', 'caused', 'reported']","[""US assesses that Israel is `not responsible' for Gaza hospital blast"", 'AP visual analysis: Rocket from Gaza appeared to go astray, likely caused deadly hospital explosion', '#039;Israel is not responsible&#039; for deadly Gaza hospital blast, White House says']"
64,29,64_toll_death_000_rises,"['toll', 'death', '000', 'rises', '20', '100', 'ministry', 'surpass', 'staggering', 'strip']","['Death Toll Passes 1,100', 'Israeli troops advance toward Gaza City as Palestinian death toll rises above 9,000', 'Israel-Hamas war rages as Palestinian death toll in Gaza rises from attacks']"
65,29,65_deal_hostage_negotiations_talks,"['deal', 'hostage', 'negotiations', 'talks', 'refuse', 'release', '39', 'reached', 'cease', 'closer']","['U.S. official says \\""there\'s a deal on the table\\"" for a proposed cease-fire, hostage release deal with Hamas', 'What To Know About The Latest Israel-Hamas Hostage Deal', 'Israel-Hamas war: What we know about the hostage deal']"
66,29,66_airdrop_airdrops_food_aid,"['airdrop', 'airdrops', 'food', 'aid', 'airdropped', 'airdropping', 'humanitarian', 'supplies', 'jordan', 'line']","['US, Jordan airdrop more aid to Gaza, US military says', 'Biden says US military to airdrop food, supplies into Gaza', 'U.S. to airdrop aid to Gaza, Biden says']"
67,27,67_social_media_accounts_content,"['social', 'media', 'accounts', 'content', 'hate', 'spread', 'cyber', 'companies', 'disinformation', 'hackers']","['Social media companies under scrutiny over false, violent posts amid Israel-Hamas war', 'Experts fear hate, extremism on social media amid Israel-Hamas war', 'Hamas turns to social media to get its message out - and to spread fear']"
68,27,68_family_medway_trapped_families,"['family', 'medway', 'trapped', 'families', 'leave', 'escape', 'stranded', 'couple', 'separated', 'relatives']","[""Medway family remains trapped in Gaza as some foreign nationals exit: `We hope our turn will come soon'"", ""Medway family trapped in Gaza: `Our short trip just turned into a nightmare'"", ""Medway family stranded in Gaza on `desperate hunt for food and water' as they wait to escape into Egypt""]"
69,27,69_candidates_democrats_squad_primary,"['candidates', 'democrats', 'squad', 'primary', 'bowman', 'democratic', 'divides', 'democrat', 'bias', 'challenge']","['Bowman to face primary challenge from pro-Israel Democrat ', 'Pro-Israel Democrat PAC endorses primary rivals to &#8216;Squad&#8217; Reps. Jamaal Bowman, Cori Bush', 'Democratic Socialists back `Squad&#8217; Rep. Jamaal Bowman in primary battle']"
70,26,70_warrant_arrest_icc_warrants,"['warrant', 'arrest', 'icc', 'warrants', 'netanyahu', 'seeks', 'prosecutor', 'outrageous', 'international', 'court']","['The ICC&#8217;s arrest warrant for Netanyahu is a stunning failure of international law', 'Israeli PM Netanyahu meets with former Trump officials as ICC seeks arrest warrant', ""Netanyahu says ICC arrest warrant over Gaza War is result of `new antisemitism'""]"
71,26,71_sexual_violence_khalifa_jayapal,"['sexual', 'violence', 'khalifa', 'jayapal', 'mia', 'kylie', 'jenner', 'deletes', 'rape', 'oct']","['Sheryl Sandberg demands condemnation of sexual violence against Jewish women by Hamas', ""Jayapal issues new statement that she `unequivocally condemns Hamas' use of rape and sexual violence as an act of war'"", 'How Hamas weaponized sexual violence on Oct. 7']"
72,25,72_maher_trump_039_donald,"['maher', 'trump', '039', 'donald', 'prominent', 'slams', 'time', 'real', 'steele', 'sage']","['Bill Maher suggests Biden swap Harris for this prominent Republican to create &#039;dream&#039; ticket', ""Bill Maher slams `partisan' `Family Guy' creator Seth MacFarlane for saying he's doing `exactly what Donald Trump wants'"", 'Bill Maher slams &#039;very partisan&#039; &#039;Family Guy&#039; creator for saying he&#039;s doing &#039;exactly what Donald Trump wants&#039;']"
73,25,73_kyiv_ukraine_blinken_visits,"['kyiv', 'ukraine', 'blinken', 'visits', 'bar', 'counteroffensive', 'makes', 'unannounced', 'trip', 'russia']","['Blinken in Kyiv at crucial point in Ukraine-Russia war', 'Ukraine war: Blinken visits Kyiv as Russia ramps up military offensive', 'Blinken visits Kyiv amid deadly airstrike in Ukraine']"
74,25,74_hollywood_chappelle_celebs_dave,"['hollywood', 'chappelle', 'celebs', 'dave', 'audience', 'dividing', 'celebrities', 'jeers', 'portman', 'walkouts']","['Dave Chappelle Spars With Audience After Comments About Israel and Palestine at Boston Show (Report)', ""Dave Chappelle's Words On Israel-Gaza Conflict Spark Cheers, Jeers And Walkouts In Audience"", ""Dave Chappelle's Words On Israel-Gaza Conflict Spark Cheers, Jeers And Walkouts In Audience""]"
75,25,75_desantis_hadid_refugees_gigi,"['desantis', 'hadid', 'refugees', 'gigi', 'antisemitic', 'accept', 'accepting', 'bella', 'terrorizing', 'post']","['Israeli government calls out Gigi Hadid for alleged antisemitic post', ""DeSantis says US shouldn't take in Palestinian refugees from Gaza because they're `all antisemitic'"", ""DeSantis says US should not accept Gaza refugees: 'They're all antisemitic'""]"
76,24,76_carrier_aircraft_mediterranean_uss,"['carrier', 'aircraft', 'mediterranean', 'uss', 'eisenhower', 'group', 'send', 'eastern', 'warships', 'closer']","['U.S. will send a carrier strike group to the Eastern Mediterranean in support of Israel', 'U.S. sends aircraft carrier group to eastern Mediterranean in response to Hamas attack on Israel', 'The US will send aircraft carrier to the Eastern Mediterranean in support of Israel']"
77,24,77_rafah_line_paused_withhold,"['rafah', 'line', 'paused', 'withhold', 'administration', 'weapons', 'shipments', 'bomb', 'biden', 'red']","[""Israel's deadly strike on Rafah doesn't appear to cross Biden administration's 'red line'"", ""Biden Said Rafah Was a `Red Line.' Now What?"", 'Biden administration confirms paused shipment of bombs to Israel over opposition to operation in Rafah']"
78,24,78_economy_market_impact_shekel,"['economy', 'market', 'impact', 'shekel', 'waryahoo', 'finance', 'global', 'potentially', 'markets', 'financial']","['Already a humanitarian crisis, Hamas war could have major impact on Israel&#x27;s economy', 'What a potentially wider Israel-Hamas war could mean for the US economy', ""`Horrific wars' in Ukraine and Israel/ Palestine unlikely to impact global economy, Standard Chartered chief Bill Winters says""]"
79,24,79_omar_ilhan_daughter_suspended,"['omar', 'ilhan', 'daughter', 'suspended', '8216', 'students', 'rep', '8217', 'genocide', 'suspension']","['Ilhan Omar&#8217;s daughter suspended from Barnard College for her involvement in anti-Israel protests', ""Rep. Ilhan Omar's daughter among students suspended at Columbia over pro-Palestinian encampment"", 'Rep. Ilhan Omar&#x27;s daughter says she was suspended over pro-Gaza demonstration']"
80,24,80_intelligence_aware_surprised_intel,"['intelligence', 'aware', 'surprised', 'intel', 'attack', 'gave', 'did', 'kirby', 'suggests', 'john']","[""National Security Council's John Kirby: No indication U.S. intelligence was aware of Hamas' Israel attack plan"", 'Initial US intelligence suggests Iran was surprised by the Hamas attack on Israel', 'Initial US intelligence suggests Iran was surprised by the Hamas attack on Israel']"
