Topic,Count,Name,Representation,Representative_Docs
9,46,9_netanyahu_biden_benjamin_schumer,"['netanyahu', 'biden', 'benjamin', 'schumer', 'x27', 'pm', 'minister', '8217', 'address', 'war']","['Letter: For peace in Israel, Netanyahu must go', 'Benjamin Netanyahu', 'Biden says Netanyahu&#8217;s approach to war in Gaza is a &#8216;mistake&#8217;']"
10,35,10_ceasefire_resolution_council_immediate,"['ceasefire', 'resolution', 'council', 'immediate', 'security', 'vetoes', 'veto', 'calls', 'gaza', 'bid']","['UN Security Council passes resolution demanding immediate ceasefire in Gaza', 'UN Security Council demands immediate ceasefire in Gaza', 'UN Security Council demands immediate ceasefire in Gaza']"
11,29,11_blinken_visit_talks_support,"['blinken', 'visit', 'talks', 'support', 'kyiv', 'lands', 'push', 'surprise', 'unannounced', 'east']","[' Blinken Makes Unannounced Kyiv Visit ', 'Blinken on surprise visit to Baghdad: Iraq', 'Blinken lands in Saudi for Gaza talks ahead of Israel visit']"
12,27,12_hamas_attack_intelligence_cybercriminals,"['hamas', 'attack', 'intelligence', 'cybercriminals', 'footage', 'clear', 'documentary', 'video', 'attacks', 'israeli']","['Hamas attack prompts blame around Israeli intelligence', ""Israel releases unedited video of Oct 7 Hamas attack to counter 'Holocaust denial-like phenomenon'"", 'Hamas could inspire attacks in the U.S., FBI chief says, adding the agency is conducting &#39;multiple&#39; investigations into people affiliated with the groupOctober 31, 2023, 12:20 PM']"
13,27,13_woode_smith_israel_reply,"['woode', 'smith', 'israel', 'reply', 'facts', 'follow', '8217', 'war', 'right', 'letter']","['Israel&#8217;s justified self-defence: Double standards in the fog of war &#8211; Nicholas Woode-Smith', 'Right of reply: Woode-Smith misses the mark on Dr Soni, Israel-Palestine', 'Right of reply: What should Israel have done, Mr Horne? &#8211; Woode-Smith']"
14,24,14_biden_president_israel_visit,"['biden', 'president', 'israel', 'visit', 'joe', 'travel', 'arrives', 'handling', 'americans', 'gaza']","['Biden arrives on solidarity visit to Israel', ""'Do better': Americans grade President Biden's handling of the war in Israel"", 'US President Biden Weeps Over Deaths Of 11 Americans After Hamas Attacks On Israel']"
15,24,15_truce_ceasefire_hamas_proposal,"['truce', 'ceasefire', 'hamas', 'proposal', 'extend', 'reaching', 'efforts', 'says', 'response', 'seeks']","['Hamas accepts Gaza truce proposal', 'Israel-Hamas truce: Is this the end of the conflict?', ""Hamas leader says 'close to reaching' truce deal in Israel-Hamas war""]"
16,24,16_ties_ambassador_diplomats_sa,"['ties', 'ambassador', 'diplomats', 'sa', 'recalls', 'diplomatic', 'cut', 'lew', 'withdrawing', 'south']","['Israel criticizes South American countries that cut diplomatic ties and recall envoys', 'SA recalls diplomats from Israel', 'SA recalls diplomats from Israel']"
17,21,17_toll_death_000_ministry,"['toll', 'death', '000', 'ministry', 'rises', '20', '30', 'hits', 'exceeds', '258']","['Palestinian death toll in Gaza climbs to 20,258: Ministry', 'Gaza death toll exceeds 30,000, Hamas-run health ministry says', 'Palestinian death toll rises above 20,000, Gaza Health Ministry says']"
18,21,18_gov_zamfara_alia_benue,"['gov', 'zamfara', 'alia', 'benue', 'lawal', 'governor', 'insecurity', 'lg', 'cso', 'anniversary']","['Insecurity in Zamfara can be resolved in two weeks if . &#8211; Governor Lawal', 'Benue: If you try any trouble, you face it &#8211; Gov Alia warns', ' Gov Alia tackles politicians over insecurity in Benue  o']"
19,20,19_pinoys_pinoy_dfa_recruiters,"['pinoys', 'pinoy', 'dfa', 'recruiters', 'milan', 'doctors', 'proud', 'recruit', 'illegal', 'remain']","['More Pinoys in Milan suing illegal recruiters - ConGen Cato', '2 Pinoys killed in Hamas raids - DFA', '2 Pinoy doctors exit Gaza Strip; 136 Pinoys remain']"
20,19,20_human_rights_rk_xfc,"['human', 'rights', 'rk', 'xfc', 'volker', 'comment', 'violations', 'te', 'commissioner', 'commission']","['Comment By UN Human Rights Chief Volker T&#xFC;rk On The Situation In Bolivia', 'Comment By UN High Commissioner For Human Rights Volker T&#xFC;rk On Violence In Myan...', 'Statement By UN High Commissioner For Human Rights Volker T&#xFC;rk At The End Of His...']"
21,19,21_yemen_houthis_houthi_britain,"['yemen', 'houthis', 'houthi', 'britain', 'pay', 'carry', 'yemeni', 'say', 'ship', 'make']","['US carries out new strike against Houthis in Yemen', 'U.S., Britain carry out strikes against Houthis in Yemen', 'U.S., Britain carry out strikes against Houthis in Yemen- officials']"
22,18,22_killed_kill_israeli_strikes,"['killed', 'kill', 'israeli', 'strikes', 'people', '175', 'attack', 'music', 'festival', 'ends']","['Gaza health officials say 24 killed in Israeli strikes', ' Israeli Strikes Kill Over 175 People In Gaza After Cease-Fire Ends ', 'Israeli Strikes Kill Over 175 People In Gaza As Cease-Fire Ends, Health Officials Say']"
23,18,23_membership_palestinian_general_assembly,"['membership', 'palestinian', 'general', 'assembly', 'request', 'vote', 'countries', 'state', 'recognition', 'recognize']","['UN Security Council set to vote on Palestinian membership', 'UN General Assembly backs Palestinian bid for membership', 'UN General Assembly backs Palestinian bid for membership']"
24,15,24_workers_kitchen_central_deadly,"['workers', 'kitchen', 'central', 'deadly', 'strike', 'aid', 'world', 'convoy', 'josç', 'andrçs']","['World Central Kitchen founder questions Israeli report on deadly strike on aid convoy in Gaza', 'Biden calls chef JosÇ AndrÇs after Israeli strike kills World Central Kitchen aid workers', 'Israeli strike hits aid convoy, killing 7 World Central Kitchen workers in Gaza']"
25,14,25_conflict_palestine_jews_vs,"['conflict', 'palestine', 'jews', 'vs', 'peace', 'israel', 'cold', 'stephens', 'kazeem', 'truth']","['The Israel-Palestine Conflict, False Flags and Cold War: Connecting the Dots.. to the Washington Consensus (IMF and WB).', 'Israel-Palestine Conflict', 'The Palestine-Israel Conflict - I']"
26,13,26_ukraine_aid_senate_advances,"['ukraine', 'aid', 'senate', 'advances', 'billion', 'immigration', '95', 'package', 'spending', 'dispute']","['Fears grow in Congress over Ukraine and Israel aid amid dispute over immigration and spending cuts', 'US House passes $95 billion Ukraine, Israel aid package', 'Senate advances $95 billion Ukraine, Israel aid bill as budget talks loom']"
27,12,27_blinken_nigeria_secretary_visit,"['blinken', 'nigeria', 'secretary', 'visit', 'antony', 'african', 'africa', 'pledges', 'west', 'state']","[""On Antony Blinken's visit to Nigeria"", 'US Secretary of State, Antony Blinken set to visit Nigeria', 'U.S Secretary of State, Antony Blinken to visit Nigeria next week']"
28,11,28_imf_global_conflict_impact,"['imf', 'global', 'conflict', 'impact', 'economy', 'md', 'hamas', 'israel', '1008', 'measures']","['IMF raises concern over global economic impact of Israel, Hamas war', ""IMF MD: Israel-Hamas war bad for global economy | We're monitoring impactˇ"", 'IMF MD says the Israel-Hamas conflict could darken the global economy']"
29,11,29_famine_food_looms_report,"['famine', 'food', 'looms', 'report', 'gaza', 'views', 'disaster', 'attempting', 'alarm', 'available']","['Mass deaths from famine looms in Gaza &#8211; Report', 'New Famine Alert For Gaza Where Families Go Days Without Food', "" `Slightly' more food available in Gaza but famine still looms: WHO ""]"
30,11,30_bank_west_raid_palestinians,"['bank', 'west', 'raid', 'palestinians', 'settler', 'dozens', 'raids', 'arrests', 'anti', 'killed']","['Israel arrests Palestinian activist in West Bank raid', ' Three Palestinians killed in West Bank military raids and settler ... ', ' Eight Palestinians killed in Israeli West Bank raid ']"
31,11,31_pacific_ben_morgan_update,"['pacific', 'ben', 'morgan', 'update', 'developments', 'explanation', 'simple', 'political', 'week', 'military']","[""Ben Morgan's Pacific Update &#8211; A simple explanation of this week's military and political developments in the Pacific"", ""Ben Morgan's Pacific Update A simple explanation of this week's military and political developments in the Pacific"", ""Ben Morgan's Pacific Update A simple explanation of this week's military and political developments in the Pacific""]"
